path;community;model name;price;square feet;beds;baths;cars;home style;primary bed;full bath main;full bed on first;den/study
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/maple-loft;Brittany Heights at Windsor Creek;Maple Loft;$ 403,990;2,483;3 - 5;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/monarch;Brittany Heights at Windsor Creek;Monarch;$ 335,990;1,230;3;2;2;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/monarch-bonus;Brittany Heights at Windsor Creek;Monarch Bonus;$ 358,990;1,666;3;2 - 3;2;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/opal-bonus;Brittany Heights at Windsor Creek;Opal Bonus;$ 424,990;2,653 - 2,851;3 - 5;2.5 - 4;2 - 4;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/payette;Brittany Heights at Windsor Creek;Payette;$ 371,990;1,880;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/ridenbaugh;Brittany Heights at Windsor Creek;Ridenbaugh;$ 335,990;1,244;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/spruce;Brittany Heights at Windsor Creek;Spruce;$ 437,990;3,065;4 - 7;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/tamarack;Brittany Heights at Windsor Creek;Tamarack;$ 349,990;1,519;3;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/tamarack-loft;Brittany Heights at Windsor Creek;Tamarack Loft;$ 360,990;1,700;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/topaz;Brittany Heights at Windsor Creek;Topaz;$ 447,990;3,064 - 3,298;4 - 5;3.5;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/trinity;Brittany Heights at Windsor Creek;Trinity;$ 421,990;2,804;4 - 6;2.5 - 3.5;2 - 3;Primary Down;Down;;;
/new-homes/idaho/boise-metro/caldwell/brittany-heights-at-windsor-creek/yosemite;Brittany Heights at Windsor Creek;Yosemite;$ 451,990;3,259;4 - 7;3.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/agate;Mason Creek;Agate;$ 489,990;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/alturas;Mason Creek;Alturas;$ 358,990;1,446;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/amethyst;Mason Creek;Amethyst;$ 403,990;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/birch;Mason Creek;Birch;$ 368,990;1,620;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/brookfield;Mason Creek;Brookfield;$ 386,990;1,888;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/brookfield-bonus;Mason Creek;Brookfield Bonus;$ 408,990;2,279;3 - 5;2 - 3;2 - 3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/crestwood;Mason Creek;Crestwood;$ 393,990;2,009;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/emerald;Mason Creek;Emerald;$ 427,990;2,433 - 2,633;3 - 4;3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/garnet;Mason Creek;Garnet;$ 433,990;2,695;4 - 6;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/maple-loft;Mason Creek;Maple Loft;$ 420,990;2,483;3 - 5;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/opal-bonus;Mason Creek;Opal Bonus;$ 441,990;2,653 - 2,851;3 - 5;2.5 - 4;2 - 4;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/ridenbaugh;Mason Creek;Ridenbaugh;$ 348,990;1,244;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/spruce;Mason Creek;Spruce;$ 454,990;3,065;4 - 7;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/topaz;Mason Creek;Topaz;$ 464,990;3,064 - 3,298;4 - 5;3.5;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/trinity;Mason Creek;Trinity;$ 438,990;2,804;4 - 6;2.5 - 3.5;2 - 3;Primary Down;Down;;;
/new-homes/idaho/boise-metro/caldwell/mason-creek/yosemite;Mason Creek;Yosemite;$ 468,990;3,259;4 - 7;3.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/agate;Sera Sole;Agate;See agent for details;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/alturas;Sera Sole;Alturas;See agent for details;1,446;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/amethyst;Sera Sole;Amethyst;See agent for details;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/birch;Sera Sole;Birch;See agent for details;1,620;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/brookfield;Sera Sole;Brookfield;See agent for details;1,888;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/brookfield-bonus;Sera Sole;Brookfield Bonus;See agent for details;2,279;3 - 5;2 - 3;2 - 3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/crestwood;Sera Sole;Crestwood;See agent for details;2,009;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/garnet;Sera Sole;Garnet;See agent for details;2,695;4 - 6;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/maple-loft;Sera Sole;Maple Loft;See Agent for Details;2,483;3 - 5;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/opal-bonus;Sera Sole;Opal Bonus;See agent for details;2,653 - 2,851;3 - 5;2.5 - 4;2 - 4;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/spruce;Sera Sole;Spruce;See agent for details;3,065;4 - 7;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/topaz;Sera Sole;Topaz;See agent for details;3,064 - 3,298;4 - 5;3.5;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/trinity;Sera Sole;Trinity;See agent for details;2,804;4 - 6;2.5 - 3.5;2 - 3;Primary Down;Down;;;
/new-homes/idaho/boise-metro/kuna/sera-sole/yosemite;Sera Sole;Yosemite;See agent for details;3,259;4 - 7;3.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/meridian/canyons-at-prescott-ridge/bradshaw;Canyons at Prescott Ridge;Bradshaw;$ 402,990;1,528;2 - 3;2;2;1 Story;Down;Yes;Yes;
/new-homes/idaho/boise-metro/meridian/canyons-at-prescott-ridge/charlotte;Canyons at Prescott Ridge;Charlotte;$ 410,990;1,618;3 - 4;2;2;1 Story;Down;Yes;Yes;
/new-homes/idaho/boise-metro/meridian/canyons-at-prescott-ridge/phoenix;Canyons at Prescott Ridge;Phoenix;$ 449,990;2,078;3;2.5;2;2 Story;Up;No;No;
/new-homes/idaho/boise-metro/meridian/canyons-at-prescott-ridge/sierra;Canyons at Prescott Ridge;Sierra;$ 478,990;2,346;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/alder;Ridgelines at Prescott Ridge;Alder;$ 496,990;2,100;3;2;2;1 Story;Down;Yes;Yes;
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/belmont;Ridgelines at Prescott Ridge;Belmont;$ 462,990;2,044;3 - 4;3;2;1 Story;Down;Yes;Yes;
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/glendale;Ridgelines at Prescott Ridge;Glendale;$ 499,990;2,400;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/hemlock;Ridgelines at Prescott Ridge;Hemlock;$ 522,990;2,312;3;2.5;3;1 Story;Down;Yes;Yes;Yes
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/mesa;Ridgelines at Prescott Ridge;Mesa;$ 524,990;2,640;3 - 5;2.5 - 4;3;2 Story;Up;Optional;No;
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/oak;Ridgelines at Prescott Ridge;Oak;$ 551,990;2,563;3 - 4;3;3;1 Story;Down;Yes;Yes;Yes
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/ponderosa;Ridgelines at Prescott Ridge;Ponderosa;$ 560,990;2,664;3 - 4;3;3;1 Story;Down;Yes;Yes;Yes
/new-homes/idaho/boise-metro/meridian/ridgelines-at-prescott-ridge/sedona;Ridgelines at Prescott Ridge;Sedona;$ 551,990;2,828;4 - 5;2.5 - 3;3;2 Story;Down;Yes;;
/new-homes/idaho/boise-metro/meridian/woodcrest-townhomes/iris;Woodcrest Townhomes;Iris;$ 414,990;1,568;2;2.5;1;Townhome;Up;No;No;
